AccountDisabled 	The functionality you have requested has been administratively disabled for this account.
InvalidAddress.Malformed 	The specified IP address is not valid. Ensure that you provide the address in the form xx.xx.xx.xx; for example, 55.123.45.67
InvalidAddress.NotFound 	The specified Elastic IP address that you are describing cannot be found. Ensure that you specify the AWS Region in which the IP address is located, if it's not in the default Region.
InvalidAddressID.NotFound 	The specified allocation ID for the Elastic IP address you are trying to release cannot be found. Ensure that you specify the AWS Region in which the IP address is located, if it's not in the default Region.
InvalidAffinity 	The specified affinity value is not valid.
InvalidAllocationID.NotFound 	The specified allocation ID you are trying to describe or associate does not exist. Ensure that you specify the AWS Region in which the IP address is located, if it's not in the default Region.
InvalidAMIAttributeItemValue 	The value of an item added to, or removed from, an image attribute is not valid. If you are specifying a userId, check that it is in the form of an AWS account ID, without hyphens.
InvalidAMIID.Malformed 	The specified AMI ID is malformed. Ensure that you provide the full AMI ID, in the form ami-xxxxxxxxxxxxxxxxx.
InvalidAMIID.NotFound 	The specified AMI doesn't exist. Check the AMI ID, and ensure that you specify the AWS Region in which the AMI is located, if it's not in the default Region. This error might also occur if you specified an incorrect kernel ID when launching an instance. This error might also occur if the AMI doesn't meet your Allowed AMIs criteria. To use this AMI, you must change the Allowed AMIs criteria. For more information, see Control the discovery and use of AMIs in Amazon EC2 with Allowed AMIs.
InvalidAMIID.Unavailable 	The specified AMI has been deregistered and is no longer available, or is not in a state from which you can launch an instance or modify attributes.
InvalidAMIName.Duplicate 	The specified AMI name is already in use by another AMI. If you have recently deregistered an AMI with the same name, allow enough time for the change to propagate through the system, and retry your request.
InvalidAMIName.Malformed 	AMI names must be between 3 and 128 characters long, and may only contain letters, numbers, and the following special characters: '-', '_', '.', '/', '(', and ')'.
InvalidAssociationID.NotFound 	The specified association ID (for an Elastic IP address, a route table, or network ACL) does not exist. Ensure that you specify the AWS Region in which the association ID is located, if it's not in the default Region.
InvalidAttachment.NotFound 	Indicates an attempt to detach a volume from an instance to which it is not attached.
InvalidAttachmentID.NotFound 	The specified network interface attachment does not exist.
InvalidAutoPlacement 	The specified value for auto-placement is not valid.
InvalidAvailabilityZone 	The specified Availability Zone is not valid.
InvalidBlockDeviceMapping 	A block device mapping parameter is not valid. The returned message indicates the incorrect value.
InvalidBundleID.NotFound 	The specified bundle task ID cannot be found. Ensure that you specify the AWS Region in which the bundle task is located, if it's not in the default Region.
InvalidCapacityBlockOfferingIdExpired 	The Capacity Block offering ID is no longer available.
InvalidCapacityBlockOfferingIdMalformed 	The Capacity Block offering ID is malformed.
InvalidCapacityBlockOfferingIdNotFound 	The Capacity Block offering ID cannot be found for this account.
InvalidCapacityReservationState.PendingActivation 	Your Capacity Block is not active yet.
InvalidCarrierGatewayID.NotFound 	The specified carrier gateway ID cannot be found. Ensure that you specify the AWS Region in which the carrier gateway is located, if it's not in the default Region.
InvalidCidr.InUse 	The specified inside tunnel CIDR is already in use by another VPN tunnel for the virtual private gateway.
InvalidClientToken 	The specified client token is not valid. For more information, see Ensuring idempotency.
InvalidClientVpnActiveAssociationNotFound 	You cannot perform this action on the Client VPN endpoint while it is in the pending-association state.
InvalidClientVpnAssociationIdNotFound 	The specified target network association cannot be found.
InvalidClientVpnConnection.IdNotFound 	The specified Client VPN endpoint cannot be found.
InvalidClientVpnConnection.UserNotFound 	The specified user does not have an active connection to the specified Client VPN endpoint.
InvalidClientVpnDuplicateAssociationException 	The specified target network has already been associated with the Client VPN endpoint.
InvalidClientVpnDuplicateAuthorizationRule 	The specified authorization has already been added to the Client VPN endpoint.
InvalidClientVpnDuplicateRoute 	The specified route has already been added to the Client VPN endpoint.
InvalidClientVpnEndpointAuthorizationRuleNotFound 	The specified authorization rule cannot be found.
InvalidClientVpnEndpointId.NotFound 	The specified Client VPN Endpoint cannot be found.
InvalidClientVpnRouteNotFound 	The specified route cannot be found.
InvalidClientVpnSubnetId.DifferentAccount 	The specified subnet belongs to a different account.
InvalidClientVpnSubnetId.DuplicateAz 	You have already associated a subnet from this Availability Zone with the Client VPN endpoint.
InvalidClientVpnSubnetId.NotFound 	The specified subnet cannot be found in the VPN with which the Client VPN endpoint is associated.
InvalidClientVpnSubnetId.OverlappingCidr 	The specified target network's CIDR range overlaps with the Client VPN endpoint's client CIDR range.
InvalidConversionTaskId 	The specified conversion task ID (for instance or volume import) is not valid.
InvalidConversionTaskId.Malformed 	The specified conversion task ID (for instance or volume import) is malformed. Ensure that you've specified the ID in the form import-i-xxxxxxxx.
InvalidCpuCredits 	The specified CpuCredit value is invalid. Valid values are standard and unlimited.
InvalidCpuCredits.Malformed 	The specified CpuCredit value is invalid. Valid values are standard and unlimited.
InvalidCustomerGateway.DuplicateIpAddress 	There is a conflict among the specified gateway IP addresses. Each VPN connection in an AWS Region must be created with a unique customer gateway IP address (across all AWS accounts). For more information, see Your customer gateway device in the AWS Site-to-Site VPN User Guide.
InvalidCustomerGatewayId.Malformed 	The specified customer gateway ID is malformed, or cannot be found. Specify the ID in the form cgw-xxxxxxxx, and ensure that you specify the AWS Region in which the customer gateway is located, if it's not in the default Region.
InvalidCustomerGatewayID.NotFound 	The specified customer gateway ID cannot be found. Ensure that you specify the AWS Region in which the customer gateway is located, if it's not in the default Region.
InvalidCustomerGatewayState 	The customer gateway is not in the available state, and therefore cannot be used.
InvalidParameterValue 	The device to which you are trying to attach (for example, /dev/sdh) is already in use on the instance.
InvalidDeclarativePoliciesReportId.Malformed 	The specified account status report ID for declarative policies is malformed. Ensure that you specify the ID in the form p-xxxxxxxxxx. For more information, see Generating the account status report for declarative policies.
InvalidDhcpOptionID.NotFound 	The specified DHCP options set does not exist. Ensure that you specify the AWS Region in which the DHCP options set is located, if it's not in the default Region.
InvalidDhcpOptionsID.NotFound 	The specified DHCP options set does not exist. Ensure that you specify the AWS Region in which the DHCP options set is located, if it's not in the default Region.
InvalidDhcpOptionsId.Malformed 	The specified DHCP options set ID is malformed. Ensure that you provide the full DHCP options set ID in the request, in the form dopt-xxxxxxxx.
InvalidEgressOnlyInternetGatewayId.Malformed 	The specified egress-only internet gateway ID is malformed. Ensure that you specify the ID in the form eigw-xxxxxxxxxxxxxxxxx.
InvalidEgressOnlyInternetGatewayId.NotFound 	The specified egress-only internet gateway does not exist.
InvalidElasticGpuID.Malformed 	The specified Elastic GPU ID is malformed. Ensure that you specify the ID in the form egpu-xxxxxxxxxxxxxxxxx.
InvalidElasticGpuID.NotFound 	The specified Elastic GPU does not exist.
InvalidExportTaskID.Malformed 	The specified export task ID cannot be found.
InvalidExportTaskID.NotFound 	The specified export task ID is malformed. Ensure that you specify the ID in the form export-ami-xxxxxxxxxxxxxxxxx.
InvalidFilter 	The specified filter is not valid.
InvalidFlowLogId.NotFound 	The specified flow log does not exist.
InvalidFormat 	The specified disk format (for the instance or volume import) is not valid.
InvalidFpgaImageID.Malformed 	The specified Amazon FPGA image (AFI) ID is malformed. Ensure that you provide the full AFI ID in the request, in the form afi-xxxxxxxxxxxxxxxxx.
InvalidFpgaImageID.NotFound 	The specified Amazon FPGA image (AFI) ID does not exist. Ensure that you specify the AWS Region in which the AFI is located, if it's not in the default Region.
InvalidGatewayID.NotFound 	The specified gateway does not exist.
InvalidGroup.Duplicate 	You cannot create a security group with the same name as an existing security group in the same VPC.
InvalidGroupId.Malformed 	The specified security group ID is malformed. Ensure that you provide the full security group ID in the request, in the form sg-xxxxxxxxxxxxxxxxx.
InvalidGroup.InUse 	The specified security group can't be deleted because it's in use by another security group. You can remove dependencies by modifying or deleting rules in the affected security groups.
InvalidGroup.NotFound 	

The specified security group does not exist.

This error can occur because the ID of a recently created security group has not propagated through the system. For more information, see Ensuring idempotency.

You can't specify a security group that is in a different AWS Region or VPC than the request.
InvalidGroup.Reserved 	The name 'default' is reserved, and cannot be used to create a new security group.
InvalidHostConfiguration 	The specified Dedicated Host configuration is not supported.
InvalidHostId 	The specified Dedicated Host ID is not valid.
InvalidHostID.Malformed 	The specified Dedicated Host ID is not formed correctly. Ensure that you provide the full ID in the form h-xxxxxxxxxxxxxxxxx.
InvalidHostId.Malformed 	The specified Dedicated Host ID is not formed correctly. Ensure that you provide the full ID in the form h-xxxxxxxxxxxxxxxxx.
InvalidHostID.NotFound 	The specified Dedicated Host ID does not exist. Ensure that you specify the AWS Region in which the Dedicated Host is located, if it's not in the default Region.
InvalidHostId.NotFound 	The specified Dedicated Host ID does not exist. Ensure that you specify the region in which the Dedicated Host is located, if it's not in the default region.
InvalidHostReservationId.Malformed 	The specified Dedicated Host Reservation ID is not formed correctly. Ensure that you provide the full ID in the form hr-xxxxxxxxxxxxxxxxx.
InvalidHostReservationOfferingId.Malformed 	The specified Dedicated Host Reservation offering is not formed correctly. Ensure that you provide the full ID in the form hro-xxxxxxxxxxxxxxxxx.
InvalidHostState 	The Dedicated Host must be in the available state to complete the operation.
InvalidIamInstanceProfileArn.Malformed 	The specified IAM instance profile ARN is not valid. For more information about valid ARN formats, see Amazon Resource Names (ARNs).
InvalidID 	The specified ID for the resource you are trying to tag is not valid. Ensure that you provide the full resource ID; for example, ami-2bb65342 for an AMI.

If you're using the command line tools on a Windows system, you might need to use quotation marks for the key-value pair; for example, "Name=TestTag".
InvalidInput 	An input parameter in the request is not valid. For example, you may have specified an incorrect Reserved Instance listing ID in the request or the Reserved Instance you tried to list cannot be sold in the Reserved Instances Marketplace (for example, if it has a scope of Region, or is a Convertible Reserved Instance).
InvalidInstanceAttributeValue 	The specified instance attribute value is not valid. This error is most commonly encountered when trying to set the InstanceType/--instance-type attribute to an unrecognized value.
InvalidInstanceConnectEndpointId.Malformed 	The specified EC2 Instance Connect Endpoint ID is malformed. Ensure that you specify the ID in the form eice-xxxxxxxxxxxxxxxxx.
InvalidInstanceConnectEndpointId.NotFound 	The specified EC2 Instance Connect Endpoint does not exist.
InvalidInstanceCreditSpecification 	If you are modifying the credit option for CPU usage for T2 instances, the request may not contain duplicate instance IDs.
InvalidInstanceCreditSpecification.DuplicateInstanceId 	If you are modifying the credit option for CPU usage for T2 instances, the request may not contain duplicate instance IDs.
InvalidInstanceEventIDNotFound 	The specified ID of the event whose date and time you are modifying cannot be found. Verify the ID of the event and try your request again.
InvalidInstanceEventStartTime 	The specified scheduled event start time does not meet the requirements for rescheduling a scheduled event. For more information, see Limitations.
InvalidInstanceFamily 	The instance family is not supported for this request. For example, the instance family for the Dedicated Host Reservation offering is different from the instance family of the Dedicated Hosts. Or, you can only modify the default credit specification for burstable performance instance families (T2, T3, and T3a). For more information, see Set the default credit specification for the account.
InvalidInstanceID 	

This error can occur when trying to perform an operation on an instance that has multiple network interfaces.

A network interface can have individual attributes; therefore, you may need to specify the network interface ID as part of the request, or use a different request. For example, each network interface in an instance can have a source/destination check flag. To modify this attribute, modify the network interface attribute, and not the instance attribute.

To create a route in a route table, provide a specific network interface ID as part of the request.
InvalidInstanceID.Malformed 	The specified instance ID is malformed. Ensure that you provide the full instance ID in the request, in the form i-xxxxxxxx or i-xxxxxxxxxxxxxxxxx.
InvalidInstanceID.NotFound 	The specified instance does not exist. This error might occur because the ID of a recently created instance has not propagated through the system. For more information, see Ensuring idempotency.
InvalidInstanceID.NotLinkable 	The specified instance cannot be linked to the specified VPC. This error may also occur if the instance was recently launched, and its ID has not yet propagated through the system. Wait a few minutes, or wait until the instance is in the running state, and then try again.
InvalidInstanceState 	The instance is not in an appropriate state to complete the request. If you're modifying the instance placement, the instance must be in the stopped state.
InvalidInstanceType 	The instance type is not supported for this request. For example, you can only bundle instance store-backed Windows instances.
InvalidInterface.IpAddressLimitExceeded 	The number of private IP addresses for a specified network interface exceeds the limit for the type of instance you are trying to launch. For more information, see IP addresses per network interface per instance type.
InvalidInternetGatewayId.Malformed 	The specified internet gateway ID is malformed. Ensure that you provide the full ID in the request, in the form igw-xxxxxxxxxxxxxxxxx.
InvalidInternetGatewayID.NotFound 	The specified internet gateway does not exist. Ensure that you specify the AWS Region in which the internet gateway is located, if it's not in the default Region.
InvalidIPAddress.InUse 	The specified IP address is already in use. If you are trying to release an address, you must first disassociate it from the instance.
InvalidKernelId.Malformed 	The specified kernel ID is not valid. Ensure that you specify the kernel ID in the form aki-xxxxxxxx.
InvalidKey.Format 	The key pair is not specified in a valid OpenSSH public key format.
InvalidKeyPair.Duplicate 	The key pair name already exists in that AWS Region. If you are creating or importing a key pair, ensure that you use a unique name.
InvalidKeyPair.Format 	The format of the public key you are attempting to import is not valid.
InvalidKeyPair.NotFound 	The specified key pair name does not exist. Ensure that you specify the AWS Region in which the key pair is located, if it's not in the default Region.
InvalidCapacityReservationId.Malformed 	The ID for the Capacity Reservation is malformed. Ensure that you specify the Capacity Reservation ID in the form cr-xxxxxxxxxxxxxxxxx.
InvalidCapacityReservationId.NotFound 	The specified Capacity Reservation ID does not exist.
InvalidLaunchTargets 	One or more specified targets are invalid. Verify the capacity for the Capacity Reservation selected or verify the ID.
InvalidLaunchTemplateId.Malformed 	The ID for the launch template is malformed. Ensure that you specify the launch template ID in the form lt-xxxxxxxxxxxxxxxxx.
InvalidLaunchTemplateId.NotFound 	The specified launch template ID does not exist. Ensure that you specify the AWS Region in which the launch template is located.
InvalidLaunchTemplateId.VersionNotFound 	The specified launch template version does not exist.
InvalidLaunchTemplateName.AlreadyExistsException 	The specified launch template name is already in use.
InvalidLaunchTemplateName.MalformedException 	The specified launch template name is invalid. A launch template name must be between 3 and 128 characters, and may contain letters, numbers, and the following characters: '-', '_', '.', '/', '(', and ')'.
InvalidLaunchTemplateName.NotFoundException 	The specified launch template name does not exist. Check the spelling of the name and ensure that you specify the AWS Region in which the launch template is located. Launch template names are case-sensitive.
InvalidManifest 	The specified AMI has an unparsable manifest, or you may not have access to the location of the manifest file in Amazon S3.
InvalidMaxResults 	The specified value for MaxResults is not valid.
InvalidNatGatewayID.NotFound 	The specified NAT gateway ID does not exist. Ensure that you specify the AWS Region in which the NAT gateway is located, if it's not in the default Region.
InvalidNetworkAclEntry.NotFound 	The specified network ACL entry does not exist.
InvalidNetworkAclId.Malformed 	The specified network ACL ID is malformed. Ensure that you provide the ID in the form acl-xxxxxxxxxxxxxxxxx.
InvalidNetworkAclID.NotFound 	The specified network ACL does not exist. Ensure that you specify the AWS Region in which the network ACL is located, if it's not in the default Region.
InvalidNetworkLoadBalancerArn.Malformed 	The specified Network Load Balancer ARN is malformed. Ensure that you specify the ARN in the form arn:aws:elasticloadbalancing:region:account-id:loadbalancer/net/load-balancer-name/load-balancer-id.
InvalidNetworkLoadBalancerArn.NotFound 	The specified Network Load Balancer ARN does not exist.
InvalidNetworkInterfaceAttachmentId.Malformed 	The ID for the network interface attachment is malformed. Ensure that you use the attachment ID rather than the network interface ID, in the form eni-attach-xxxxxxxxxxxxxxxxx.
InvalidNetworkInterface.InUse 	The specified interface is currently in use and cannot be deleted or attached to another instance. Ensure that you have detached the network interface first. If a network interface is in use, you may also receive the InvalidParameterValue error.
InvalidNetworkInterfaceId.Malformed 	The specified network interface ID is malformed. Ensure that you specify the network interface ID in the form eni-xxxxxxxxxxxxxxxxx.
InvalidNetworkInterface.NotFound 	The specified network interface does not exist.
InvalidNetworkInterfaceID.NotFound 	The specified network interface does not exist. Ensure that you specify the AWS Region in which the network interface is located, if it's not in the default Region.
InvalidNextToken 	The specified NextToken is not valid.
InvalidOption.Conflict 	A VPN connection between the virtual private gateway and the customer gateway already exists.
InvalidPermission.Duplicate 	The specified inbound or outbound rule already exists for that security group.
InvalidPermission.Malformed 	The specified security group rule is malformed. If you are specifying an IP address range, ensure that you use CIDR notation; for example, 203.0.113.0/24.
InvalidPermission.NotFound 	The specified rule does not exist in this security group.
InvalidPlacementGroup.Duplicate 	The specified placement group already exists in that AWS Region.
InvalidPlacementGroup.InUse 	The specified placement group is in use. If you are trying to delete a placement group, ensure that its instances have been terminated.
InvalidPlacementGroup.Unknown 	The specified placement group cannot be found. Ensure that you specify the AWS Region in which the placement group is located, if it's not in the default Region.
InvalidPlacementGroupId.Malformed 	The specified placement group ID is malformed. Ensure that you specify the ID in the form pg-xxxxxxxxxxxxxxxxx.
InvalidPolicyDocument 	The specified policy document is not a valid JSON policy document.
InvalidPrefixListId.Malformed 	The specified prefix list ID is malformed. Ensure that you provide the ID in the form pl-xxxxxxxxxxxxxxxxx.
InvalidPrefixListID.NotFound 	The specified prefix list ID does not exist.
InvalidProductInfo 	(AWS Marketplace) The product code is not valid.
InvalidPurchaseToken.Expired 	The specified purchase token has expired.
InvalidPurchaseToken.Malformed 	The specified purchase token is not valid.
InvalidQuantity 	The specified quantity of Dedicated Hosts is not valid.
InvalidRamDiskId.Malformed 	The specified RAM disk ID is not valid. Ensure that you specify the RAM disk ID in the form ari-xxxxxxxx.
InvalidRegion 	The specified AWS Region is not valid. For copying a snapshot or image, specify the source Region using its Region code, for example, us-west-2.
InvalidRequest 	The request is not valid. The returned message provides details about the nature of the error.
InvalidReservationID.Malformed 	The specified reservation ID is not valid.
InvalidReservationID.NotFound 	The specified reservation does not exist.
InvalidReservedInstancesId 	The specified Reserved Instance does not exist.
InvalidReservedInstancesOfferingId 	The specified Reserved Instances offering does not exist.
InvalidResourceConfigurationArn.Malformed 	The specified resource configuration ARN is malformed.
InvalidResourceConfigurationArn.NotFound 	The specified resource configuration ARN does not exist.
InvalidResourceType.Unknown 	The specified resource type is not supported or is not valid. To view resource types that support longer IDs, use DescribeIdFormat.
InvalidRoute.InvalidState 	The specified route is not valid.
InvalidRoute.Malformed 	The specified route is not valid. If you are deleting a route in a VPN connection, ensure that you've entered the value for the CIDR block correctly.
InvalidRoute.NotFound 	The specified route does not exist in the specified route table. Ensure that you indicate the exact CIDR range for the route in the request. This error can also occur if you've specified a route table ID in the request that does not exist.
InvalidRouteTableId.Malformed 	The specified route table ID is malformed. Ensure that you specify the route table ID in the form rtb-xxxxxxxxxxxxxxxxx.
InvalidRouteTableID.NotFound 	The specified route table does not exist. Ensure that you specify the AWS Region in which the route table is located, if it's not in the default Region.
InvalidScheduledInstance 	The specified Scheduled Instance does not exist.
InvalidSecurityGroupId.Malformed 	The specified security group ID is not valid. Ensure that you specify the security group ID in the form sg-xxxxxxxxxxxxxxxxx.
InvalidSecurityGroupID.NotFound 	The specified security group does not exist.
InvalidSecurityGroupRuleId.Malformed 	The specified security group rule ID is not valid. Ensure that you specify the security group rule ID in the form sgr-xxxxxxxxxxxxxxxxx.
InvalidSecurityGroupRuleId.NotFound 	The specified security group rule does not exist.
InvalidSecurity.RequestHasExpired 	The difference between the request timestamp and the AWS server time is greater than 5 minutes. Ensure that your system clock is accurate and configured to use the correct time zone.
InvalidServiceName 	The name of the service is not valid. To get a list of available service names, use DescribeVpcEndpointServices.
InvalidSnapshot.NotFound 	The specified snapshot does not exist. Ensure that you specify the AWS Region in which the snapshot is located, if it's not in the default Region.
InvalidSnapshotID.Malformed 	The snapshot ID is not valid.
InvalidSnapshot.InUse 	The snapshot that you are trying to delete is in use by one or more AMIs.
InvalidSnapshot.NotFound 	The specified snapshot does not exist. Ensure that you specify the AWS Region in which the snapshot is located, if it's not in the default Region.
InvalidSpotDatafeed.NotFound 	You have no data feed for Spot Instances.
InvalidSpotFleetRequestConfig 	The Spot Fleet request configuration is not valid. Ensure that you provide valid values for all of the configuration parameters; for example, a valid AMI ID. Limits apply on the target capacity and the number of launch specifications per Spot Fleet request. For more information, see Fleet quotas.
InvalidSpotFleetRequestId.Malformed 	The specified Spot Fleet request ID is malformed. Ensure that you specify the Spot Fleet request ID in the form sfr- followed by 36 characters, including hyphens; for example, sfr-123f8fc2-11aa-22bb-33cc-example12710.
InvalidSpotFleetRequestId.NotFound 	The specified Spot Fleet request ID does not exist. Ensure that you specify the AWS Region in which the Spot Fleet request is located, if it's not in the default Region.
